datetime,article_count,users,trend_value
2020-03-29,1,661,0
2020-04-05,0,264,0
2020-04-12,0,349,0
2020-04-19,1,356,0
2020-04-26,0,327,0
2020-05-03,0,246,0
2020-05-10,1,577,0
2020-05-17,0,377,27
2020-05-24,1,379,0
2020-05-31,1,307,0
2020-06-07,0,325,0
2020-06-14,1,483,0
2020-06-21,0,370,0
2020-06-28,1,456,29
2020-07-05,0,307,0
2020-07-12,0,409,0
2020-07-19,1,422,0
2020-07-26,0,400,0
2020-08-02,0,413,0
2020-08-09,0,381,0
2020-08-16,0,599,0
2020-08-23,2,793,0
2020-08-30,0,541,0
2020-09-06,2,476,0
2020-09-13,1,286,0
2020-09-20,1,177,27
2020-09-27,1,1437,0
2020-10-04,1,3193,0
2020-10-11,2,3720,0
2020-10-18,1,5282,0
2020-10-25,2,4479,0
2020-11-01,2,2427,0
2020-11-08,3,1342,0
2020-11-15,0,825,0
2020-11-22,1,491,0
2020-11-29,1,433,0
2020-12-06,0,638,0
2020-12-13,1,619,0
2020-12-20,0,602,0
2020-12-27,0,290,0
2021-01-03,0,432,0
2021-01-10,2,838,0
2021-01-17,0,999,0
2021-01-24,0,1082,0
2021-01-31,1,903,0
2021-02-07,2,562,0
2021-02-14,3,754,0
2021-02-21,5,753,0
2021-02-28,0,1336,0
